col_names,Note
Date_Time,Date_Time
OccupantNumber,OccupantNumber
SurveyTime,SurveyTime
Indoor_Temp [C],Indoor_Temp [C]
Indoor_RH [%],Indoor_RH [%]
Indoor_Air_Speed [m/s],Indoor_Air_Speed [m/s]
INDOORMeanRadiantTemp [C],INDOORMeanRadiantTemp [C]
INDOORLumens [LUX],INDOORLumens [LUX]
Indoor_CO2 [ppm],Indoor_CO2 [ppm]
Outdoor_Temp [C],Outdoor_Temp [C]
OUTDoor_RH [%],OUTDoor_RH [%]
Outdoor_Air_Speed [m/s],Outdoor_Air_Speed [m/s]
MetabolicRate_last15Mins,MetabolicRate_last15Mins
MetabolicRate_last1Hour,MetabolicRate_last1Hour
ClothingLevel,ClothingLevel
ClothingLevel_Chair,ClothingLevel_Chair
Min_Accept_Sensation_rightNow,Min_Accept_Sensation_rightNow
Med_Accept_Sensation_rightNow,Med_Accept_Sensation_rightNow
Max_Accept_Sensation_rightNow,Max_Accept_Sensation_rightNow
Min_Accept_seasonalMedian,Min_Accept_seasonalMedian
Med_Accept_seasonalMedian,Med_Accept_seasonalMedian
Max_Accept_seasonalMedian,Max_Accept_seasonalMedian
ThermalPreference_rightNow,ThermalPreference_rightNow
Gender,Gender
Age,Age
OfficeType,OfficeType
FloorNumber,FloorNumber
LocationOnFloorPlan,LocationOnFloorPlan
Min_Accept_Sensation_summer,Min_Accept_Sensation_summer
Min_Accept_Sensation_winter,Min_Accept_Sensation_winter
Med_Accept_Sensation_summer,Med_Accept_Sensation_summer
Med_Accept_Sensation_winter,Med_Accept_Sensation_winter
Max_Accept_Sensation_summer,Max_Accept_Sensation_summer
Max_Accept_Sensation_winter,Max_Accept_Sensation_winter
GeneralThermalComfort_rightNow,GeneralThermalComfort_rightNow
ThermalComfortMovement_recently,ThermalComfortMovement_recently
DiscomfortLocation_HEAD,DiscomfortLocation_HEAD
DiscomfortLocation_CHEST,DiscomfortLocation_CHEST
DiscomfortLocation_BACK,DiscomfortLocation_BACK
DiscomfortLocation_PELVIS,DiscomfortLocation_PELVIS
DiscomfortLocation_ARMS,DiscomfortLocation_ARMS
DiscomfortLocation_HANDS,DiscomfortLocation_HANDS
DiscomfortLocation_LEGS,DiscomfortLocation_LEGS
DiscomfortLocation_FEET,DiscomfortLocation_FEET
DiscomfortLocation_ALLOVER,DiscomfortLocation_ALLOVER
ThermalSensation_rightNow,ThermalSensation_rightNow
ThermalSensationMovement_recently,ThermalSensationMovement_recently
Relative_Busyness__recently,Relative_Busyness__recently
RelativeProductivity_recently,RelativeProductivity_recently
GeneralSatisfactionW_AmountOfSpace,GeneralSatisfactionW_AmountOfSpace
GeneralSatisfactionW_Privacy,GeneralSatisfactionW_Privacy
GeneralThermalComfort,GeneralThermalComfort
GeneralSatisfactionW_PerceivedControl,GeneralSatisfactionW_PerceivedControl
Fan_HeaterClass,Fan_HeaterClass
Fan_Status,Fan_Status
Windor_Status,Windor_Status
Temp_Setpoint [C],Temp_Setpoint [C]
BaseThermostatCOOLINGSetpoint [C],BaseThermostatCOOLINGSetpoint [C]
CurrentThermostatHEATINGSetpoint [C],CurrentThermostatHEATINGSetpoint [C]
BaseThermostatHEATINGSetpoint [C],BaseThermostatHEATINGSetpoint [C]
ClothingChange_recently,ClothingChange_recently
ClothingChangeUP_recently,ClothingChangeUP_recently
ClothingChangeDOWN_recently,ClothingChangeDOWN_recently
NetClothingChange_recently,NetClothingChange_recently
DrinkingBeverage,DrinkingBeverage
PurposeOfGettingCOLDDrink,PurposeOfGettingCOLDDrink
PurposeOfGettingWARMDrink,PurposeOfGettingWARMDrink
ActionOnWINDOW_recently,ActionOnWINDOW_recently
WINDOWState_rightNow,WINDOWState_rightNow
HowLongAgoWasWINDOWAction,HowLongAgoWasWINDOWAction
ActionOnDOOR_recently,ActionOnDOOR_recently
DOORState_rightNow,DOORState_rightNow
HowLongAgoWasDOORAction,HowLongAgoWasDOORAction
ActionOnBLINDS_recently,ActionOnBLINDS_recently
BLINDSState_rightNow,BLINDSState_rightNow
HowLongAgoWasBLINDSAction,HowLongAgoWasBLINDSAction
ActionOnLOCALFAN_recently,ActionOnLOCALFAN_recently
LOCALFANState_rightNow,LOCALFANState_rightNow
HowLongAgoWasLOCALFANAction,HowLongAgoWasLOCALFANAction
ActionOnLOCALHEATER_recently,ActionOnLOCALHEATER_recently
LOCALHEATERState_rightNow,LOCALHEATERState_rightNow
HowLongAgoWasLOCALHEATERAction,HowLongAgoWasLOCALHEATERAction
ActionOnTHERMOSTAT_recently,ActionOnTHERMOSTAT_recently
THERMOSTATState_rightNow,THERMOSTATState_rightNow
HowLongAgoWasTHERMOSTATAction,HowLongAgoWasTHERMOSTATAction
ReasonForNoWINDOWAction,ReasonForNoWINDOWAction
ReasonForNoDOORAction,ReasonForNoDOORAction
ReasonForNoBLINDSAction,ReasonForNoBLINDSAction
ReasonForNoLOCALFANAction,ReasonForNoLOCALFANAction
ReasonForNoLOCALHEATERAction,ReasonForNoLOCALHEATERAction
ReasonForNoTHERMOSTATAction,ReasonForNoTHERMOSTATAction
CLOTHINGAvailability,CLOTHINGAvailability
DRINKSAvailability,DRINKSAvailability
LOCALHEATERAvailability,LOCALHEATERAvailability
LOCALFANAvailability,LOCALFANAvailability
THERMOSTATAvailability,THERMOSTATAvailability
WINDOWAvailability,WINDOWAvailability
DOORAvailability,DOORAvailability
BLINDSAvailability,BLINDSAvailability
CLOTHINGEffectiveness,CLOTHINGEffectiveness
DRINKSEffectiveness,DRINKSEffectiveness
LOCALHEATEREffectiveness,LOCALHEATEREffectiveness
LOCALFANEffectiveness,LOCALFANEffectiveness
THERMOSTATEffectiveness,THERMOSTATEffectiveness
WINDOWEffectiveness,WINDOWEffectiveness
DOOREffectiveness,DOOREffectiveness
BLINDSEffectiveness,BLINDSEffectiveness
ReportedDiscomfortToManagement,ReportedDiscomfortToManagement
ChoosesSetPointThatMaximizesPRODUCTIVITY,ChoosesSetPointThatMaximizesPRODUCTIVITY
ChoosesSetPointThatMaximizedCOMFORT_PLEASURE,ChoosesSetPointThatMaximizedCOMFORT_PLEASURE
WishesSetPointToStayAtSettingTheyChoose,WishesSetPointToStayAtSettingTheyChoose
ChoosesSetPointThatIsMostAgreeableToOTHERS,ChoosesSetPointThatIsMostAgreeableToOTHERS
ChoosesSetPointThatIsMostENERGYEFFICIENT,ChoosesSetPointThatIsMostENERGYEFFICIENT
ChoosesSetPointMostInLineWithMGMTPolicies,ChoosesSetPointMostInLineWithMGMTPolicies
ChooosesSetPointMostTYPICALOfOfficeSetting,ChooosesSetPointMostTYPICALOfOfficeSetting
PredictedMeanVote_PMV,PredictedMeanVote_PMV
